top - 14:53:50 up  2:04,  3 users,  load average: 0.08, 0.20, 0.14
Tasks: 141 total,   1 running,  94 sleeping,  12 stopped,   0 zombie
%Cpu(s):  3.6 us,  1.0 sy,  0.0 ni, 94.7 id,  0.4 wa,  0.0 hi,  0.1 si,  0.1 st
KiB Mem :  1007296 total,    81528 free,   603008 used,   322760 buff/cache
KiB Swap:        0 total,        0 free,        0 used.   274696 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
  933 root      20   0    4552    784    720 S  0.0  0.1   0:00.00 acpid
  971 root      20   0  748804  20428   1632 S  0.0  2.0   0:02.51 containerd
  980 root      20   0  187676  12612   4700 S  0.0  1.3   0:00.07 unattended-upgr
  983 root      20   0  291480   4416   3364 S  0.0  0.4   0:00.01 polkitd
  999 root      20   0  979144  53632   5864 S  0.0  5.3   0:43.47 dockerd
 1000 root      20   0   16412   1728   1576 S  0.0  0.2   0:00.01 agetty
 1002 root      20   0   72300   5240   4488 S  0.0  0.5   0:00.00 sshd
 1011 root      20   0   14888   1492   1360 S  0.0  0.1   0:00.04 agetty
 2234 root      20   0    9364   2524   1588 S  0.0  0.3   0:00.12 containerd-shim
 2235 root      20   0    9364   1328    712 S  0.0  0.1   0:00.12 containerd-shim
 2236 root      20   0    9364   2076   1380 S  0.0  0.2   0:00.10 containerd-shim
 2298 root      20   0     968      4      0 S  0.0  0.0   0:00.00 pause
 2305 root      20   0     968      4      0 S  0.0  0.0   0:00.00 pause
 2312 root      20   0     968      4      0 S  0.0  0.0   0:00.00 pause
 2359 root      20   0    9364   1240    660 S  0.0  0.1   0:00.12 containerd-shim
 2384 root      20   0  145132  22704  10780 S  0.0  2.3   0:16.17 kube-scheduler
 2392 root      20   0   10772   1740    924 S  0.0  0.2   0:00.12 containerd-shim
 2402 root      20   0    9364   1156    488 S  0.0  0.1   0:00.12 containerd-shim
 2471 root      20   0  211408  52188  16572 S  0.0  5.2   0:52.64 kube-controller
 2488 root      20   0 10.121g  58188   9540 S  0.0  5.8   1:07.36 etcd
 2716 root      20   0    9364   1256    636 S  0.0  0.1   0:00.13 containerd-shim
 2744 root      20   0     968      4      0 S  0.0  0.0   0:00.00 pause
 2757 root      20   0    9364   1812   1104 S  0.0  0.2   0:00.13 containerd-shim
 2782 root      20   0  497252 260280  21448 S  0.0 25.8   2:25.73 kube-apiserver
 3054 root      20   0    9364   2760   1856 S  0.0  0.3   0:00.12 containerd-shim
 3081 root      20   0     968      4      0 S  0.0  0.0   0:00.00 pause
 3095 root      20   0    9364   1788   1104 S  0.0  0.2   0:00.12 containerd-shim
 3122 root      20   0  140412  13724   7460 S  0.0  1.4   0:01.96 kube-proxy
 3412 root      20   0  107996   7016   6000 S  0.0  0.7   0:00.02 sshd
 3432 ubuntu    20   0   76672   5816   4676 S  0.0  0.6   0:00.00 systemd
 3445 ubuntu    20   0  259264   2424      0 S  0.0  0.2   0:00.00 (sd-pam)
 3671 ubuntu    20   0  108300   5216   4068 S  0.0  0.5   0:00.03 sshd
 3692 ubuntu    20   0   23116   5184   3484 S  0.0  0.5   0:00.03 bash
 3746 root      20   0  107996   7048   6040 S  0.0  0.7   0:00.02 sshd
